Day,Len,State,EV,Dem,GOP,Ind,Date,,,,,,,,Pollster
  1.0,1,Iowa,6,52,47,,Jan 01,,,,,,,,Election 2012-1
252.5,6,Kansas,6,36,48,08,Sep 11,,,,,,,,SurveyUSA-6
233.5,24,Kansas,6,30,43,17,Sep 01,,,,,,,,SurveyMonkey-24
218.0,5,Kansas,6,39,44,08,Aug 07,,,,,,,,SurveyUSA-5
198.0,11,Kansas,6,27,44,,Jul 21,,,,,,,,Fort Hays State U.-11
191.5,4,Kansas,6,36,47,08,Jul 11,,,,,,,,SurveyUSA-4
137.0,31,Kansas,6,35,46,,May 31,,,,,,,,Morning Consult-31
 46.0,29,Kansas,6,37,43,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Kansas,6,38,60,,Jan 01,,,,,,,,Election 2012-1
233.5,24,Kentucky,8,29,52,07,Sep 01,,,,,,,,SurveyMonkey-24
137.0,31,Kentucky,8,35,49,,May 31,,,,,,,,Morning Consult-31
 46.0,29,Kentucky,8,38,46,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Kentucky,8,38,61,,Jan 01,,,,,,,,Election 2012-1
267.0,3,Louisiana,8,35,45,06,Sep 24,,,,,,,,JMC Analytics-3
260.0,3,Louisiana,8,33,49,08,Sep 17,,,,,,,,Opinion Research-3
233.5,24,Louisiana,8,33,49,09,Sep 01,,,,,,,,SurveyMonkey-24
137.0,31,Louisiana,8,33,51,,May 31,,,,,,,,Morning Consult-31
126.5,2,Louisiana,8,36,52,,May 06,,,,,,,,JMC Analytics-2
 46.0,29,Louisiana,8,35,50,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Louisiana,8,41,58,,Jan 01,,,,,,,,Election 2012-1
282.0,3,Maine,4,44,36,09,Oct 09,,,,,,,,Maine Peoples Res. Ctr.-3
261.5,6,Maine,4,40,36,12,Sep 20,,,,,,,,U. of New Hampshire-6
260.0,3,Maine,4,37,37,11,Sep 17,,,,,,,,MPRC-3
251.0,7,Maine,4,42,39,09,Sep 10,,,,,,,,SurveyUSA-7
247.5,4,Maine,4,44,35,12,Sep 05,,,,,,,,Emerson College-4
233.5,24,Maine,4,37,34,15,Sep 01,,,,,,,,SurveyMonkey-24
219.0,5,Maine,4,43,33,10,Aug 08,,,,,,,,Gravis-5
170.0,7,Maine,4,42,35,,Jun 21,,,,,,,,U. of New Hampshire-7
137.0,31,Maine,4,39,41,,May 31,,,,,,,,Morning Consult-31
